"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"и";"CONJ";"CONJ";"0.033669";"0.033317251189800313";"0.03402433171077481";"33669.0";"33317.25118980032";"34024.331710774815";"13113116.371197";"12976120.22989258";"13251507.950209346"
"в";"в";"PR";"PR";"0.0292";"0.028871805480573227";"0.029531811756090792";"29200.0";"28871.805480573228";"29531.811756090796";"11372568.1796";"11244745.763560548";"11501799.406275868"
"не";"не";"PART";"PART";"0.017617";"0.017360999723176077";"0.017876706507651663";"17617.0";"17360.999723176075";"17876.706507651666";"6861319.644521";"6761614.829377968";"6962467.93099204"
"на";"на";"PR";"PR";"0.01515";"0.01491244297055734";"0.015391282214651986";"15150.0";"14912.442970557342";"15391.282214651987";"5900493.42195";"5807971.726269182";"5994465.9711505"
"с";"с";"PR";"PR";"0.010812";"0.010611173380693461";"0.011016585134109427";"10812.0";"10611.17338069346";"11016.58513410943";"4210965.998556";"4132749.7512840074";"4290646.080274907"
"что";"что";"CONJ";"CONJ";"0.008127";"0.007952905469855357";"0.008304873674260282";"8127.0";"7952.905469855357";"8304.873674260281";"3165234.986151";"3097430.126090542";"3234511.7151880213"
"я";"я";"SPRO,1p,nom,sg";"SPRO";"0.008099";"0.007925206482965613";"0.008276572876278799";"8099.0";"7925.206482965613";"8276.572876278799";"3154329.783787";"3086642.1597580262";"3223489.3605790655"
"а";"а";"CONJ";"CONJ";"0.007472";"0.007305092129138241";"0.0076426920474540645";"7472.0";"7305.092129138242";"7642.692047454065";"2910131.145136";"2845125.2841398623";"2976610.8351150025"
"он";"он";"SPRO,3p,m,nom,sg";"SPRO";"0.006682";"0.006524203104988325";"0.006843587141308664";"6682.0";"6524.203104988324";"6843.587141308665";"2602448.6498660003";"2540991.2544191005";"2665382.2382728304"
"по";"по";"PR";"PR";"0.005628";"0.005483262312039236";"0.0057765360323194445";"5628.0";"5483.262312039235";"5776.536032319445";"2191945.675164";"2135574.468845799";"2249796.228406471"
"к";"к";"PR";"PR";"0.005538";"0.0053944330683331244";"0.005685365967510899";"5538.0";"5394.4330683331245";"5685.3659675109";"2156893.238994";"2100978.0089009344";"2214288.0853251787"
"но";"но";"CONJ";"CONJ";"0.00542";"0.0052779828076991294";"0.005565817134759011";"5420.0";"5277.982807699131";"5565.817134759011";"2110935.60046";"2055623.9497025681";"2167727.2205559174"
"и";"и";"PART";"PART";"0.004705";"0.004572763843539438";"0.004841041592385599";"4705.0";"4572.763843539437";"4841.041592385599";"1832463.468665";"1780961.252735";"1885447.7934823486"
"как";"как";"CONJ";"CONJ";"0.004528";"0.00439829960729478";"0.004661507188551432";"4528.0";"4398.29960729478";"4661.507188551432";"1763527.010864";"1713012.4026804038";"1815524.2575855025"
"из";"из";"PR";"PR";"0.004223";"0.004097789928148924";"0.004352019211064285";"4223.0";"4097.789928148924";"4352.019211064286";"1644738.199399";"1595972.4432723229";"1694987.5067382737"
"у";"у";"PR";"PR";"0.004108";"0.003984525459860613";"0.004235284562917202";"4108.0";"3984.5254598606134";"4235.2845629172025";"1599948.9754040001";"1551859.1594389337";"1649522.6867049066"
"за";"за";"PR";"PR";"0.003957";"0.0038358420586063753";"0.004081969124330183";"3957.0";"3835.8420586063753";"4081.9691243301827";"1541138.776941";"1493951.2101944597";"1589810.6908721614"
"от";"от";"PR";"PR";"0.003754";"0.003636028067813692";"0.003875784674806475";"3754.0";"3636.028067813692";"3875.784674806475";"1462076.059802";"1416129.3528818653";"1509507.7213590909"
"о";"о";"PR";"PR";"0.003429";"0.00331631588673776";"0.003545499352912815";"3429.0";"3316.3158867377597";"3545.499352912815";"1335497.818077";"1291610.565993692";"1380870.997319475"
"же";"же";"PART";"PART";"0.003417";"0.003304515874090766";"0.0035332994577578544";"3417.0";"3304.5158740907664";"3533.2994577578547";"1330824.159921";"1287014.7972146482";"1376119.4856950312"
"так";"так";"ADVPRO";"ADVPRO";"0.003154";"0.003045991489707518";"0.00326582586281494";"3154.0";"3045.991489707518";"3265.82586281494";"1228393.152002";"1186326.914081511";"1271946.1399850652"
"для";"для";"PR";"PR";"0.003115";"0.0030076709852017844";"0.0032261466669643224";"3115.0";"3007.6709852017843";"3226.1466669643223";"1213203.762995";"1171402.1692127397";"1256492.2235425017"
"быть";"было";"V,act,indic,intr,n,praet,sg";"V";"0.003005";"0.0028996109761999073";"0.0031142075211149528";"3005.0";"2899.6109761999073";"3114.2075211149527";"1170361.896565";"1129315.874011985";"1212895.1150446201"
"его";"его";"APRO";"APRO";"0.002972";"0.0028671999327286035";"0.0030806188181308827";"2972.0";"2867.1999327286035";"3080.618818130883";"1157509.336636";"1116692.6958733075";"1199813.2720737066"
"это";"это";"SPRO,inan,n,nom,sg";"SPRO";"0.002962";"0.0028573790547194926";"0.0030704397729716987";"2962.0";"2857.3790547194926";"3070.439772971699";"1153614.621506";"1112867.7436561107";"1195848.8239546642"
"она";"она";"SPRO,3p,f,nom,sg";"SPRO";"0.002755";"0.0026541577953946493";"0.0028596626227128316";"2755.0";"2654.15779539465";"2859.662622712832";"1072994.018315";"1033718.8523130986";"1113757.1283375148"
"только";"только";"PART";"PART";"0.002558";"0.002460889301805536";"0.0026589326298865307";"2558.0";"2460.889301805536";"2658.932629886531";"996268.1302540001";"958446.2796997158";"1035578.5143269761"
"еще";"еще";"ADV";"ADV";"0.002484";"0.002388328223657748";"0.0025834942765889345";"2484.0";"2388.328223657748";"2583.4942765889346";"967447.238292";"930185.8068085855";"1006197.4247299329"
"мы";"мы";"SPRO,1p,nom,pl";"SPRO";"0.002471";"0.002375583225529156";"0.002570239374598743";"2471.0";"2375.5832255291557";"2570.239374598743";"962384.1086230001";"925221.9931042605";"1001035.0179971462"
"быть";"был";"V,act,indic,intr,m,praet,sg";"V";"0.002203";"0.0021129991897595153";"0.0022968254694580737";"2203.0";"2112.9991897595155";"2296.8254694580737";"858005.743139";"822952.9914034127";"894548.0906867713"
"я";"мне";"SPRO,1p,dat,sg";"SPRO";"0.002188";"0.002098311870068491";"0.0022815129043966547";"2188.0";"2098.311870068491";"2281.5129043966544";"852163.670444";"817232.6987814346";"888584.2828043894"
"или";"или";"CONJ";"CONJ";"0.002144";"0.002055235338189199";"0.0022365897743354484";"2144.0";"2055.235338189199";"2236.589774335449";"835026.9238720001";"800455.616735614";"871088.0033707557"
"до";"до";"PR";"PR";"0.002116";"0.002027827969641486";"0.0022079973580119354";"2116.0";"2027.827969641486";"2207.9973580119354";"824121.721508";"789781.2274399876";"859952.0717249112"
"они";"они";"SPRO,3p,nom,pl";"SPRO";"0.002079";"0.001991617171761413";"0.0021702084401693154";"2079.0";"1991.617171761413";"2170.2084401693155";"809711.2755270001";"775678.1532026984";"845234.3647181133"
"бы";"бы";"V,cond";"V";"0.00205";"0.001963240685317948";"0.0021405851494247247";"2050.0";"1963.240685317948";"2140.585149424725";"798416.6016500001";"764626.3200939381";"833696.9368517788"
"уже";"уже";"ADV";"ADV";"0.001998";"0.0019123699180411931";"0.002087456316226345";"1998.0";"1912.3699180411934";"2087.4563162263453";"778164.082974";"744813.6053951895";"813004.7698020812"
"он";"его";"SPRO,3p,acc,m,sg";"SPRO";"0.001973";"0.0018879180764290828";"0.002061908349917718";"1973.0";"1887.9180764290827";"2061.908349917718";"768427.295149";"735290.3096468846";"803054.5647097871"
"что";"что";"SPRO,inan,n,nom,sg";"SPRO";"0.001942";"0.0018576026645305162";"0.002030223999994569";"1942.0";"1857.6026645305162";"2030.2239999945693";"756353.6782460001";"723483.3203075316";"790714.4130067969"
"как";"как";"ADVPRO";"ADVPRO";"0.001825";"0.001743237257256642";"0.0019105903061993905";"1825.0";"1743.2372572566421";"1910.5903061993904";"710785.511225";"678941.2521017146";"744120.4972786099"
"когда";"когда";"CONJ";"CONJ";"0.001772";"0.0016914586042294365";"0.0018563693664346316";"1772.0";"1691.4586042294368";"1856.3693664346317";"690143.521036";"658774.9417661069";"723002.9858321474"
"если";"если";"CONJ";"CONJ";"0.0017";"0.001621147578639964";"0.0017826809452123789";"1700.0";"1621.147578639964";"1782.6809452123791";"662101.5721";"631390.8002491933";"694303.4449281354"
"ты";"ты";"SPRO,2p,nom,sg";"SPRO";"0.001648";"0.0015703898474743786";"0.0017294390759028293";"1648.0";"1570.3898474743785";"1729.4390759028292";"641849.053424";"611622.1098956855";"673567.2535331968"
"вот";"вот";"PART";"PART";"0.001628";"0.0015508728751020093";"0.0017089562019386082";"1628.0";"1550.8728751020094";"1708.9562019386083";"634059.623164";"604020.8051366396";"665589.7576197634"
