0.190761 0.027502 0.118938 0.1408 0.0346058 0.0117198 0.0707131 0.0804888 0.0151142 0.00942001 0.122875 0.0732483 0.0279511 0.037907 0.076332 0.0201052 0.0169301 0.014783 0.100566 0.636249 0.147506 0.00894142 0.686989 0.463356 0.0568801 0.0300358 0.101436 0.0247267 0.323565 0.127555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000371384 0.0020059 0.00118951 0.00371596 0.000749155 0.0025876 0.0026159 0.000433603 0.00383558 0.00447516 Walter P.J. Droege ,Friedrich Knapp ,Torsten Toeller ,Ralph Dommermuth ,Erich Wesjohann & family ,Paul-Heinz Wesjohann & family ,
0.192531 0.028342 0.121626 0.138299 0.0347608 0.010516 0.0644746 0.0803906 0.0133919 0.00853933 0.12017 0.0781914 0.0291901 0.0386665 0.0798999 0.0195775 0.0169649 0.0154922 0.101507 0.641439 0.157551 0.00869235 0.70118 0.462155 0.0517275 0.0285873 0.101734 0.0240987 0.331697 0.124854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000398762 0.172585 0.0774243 0.085984 0.150604 0.214893 0.215872 0.107922 0.160495 0.0667174 Dietmar Hopp & family ,Ugur Sahin ,Hans-Werner Hector ,Thomas Struengmann & family ,Horst Wortmann ,Bernd Freier ,
0.193719 0.0308546 0.132629 0.14078 0.0336986 0.00923206 0.0564535 0.0875503 0.0108019 0.00511718 0.130843 0.0652042 0.0252831 0.0413326 0.091992 0.0206873 0.0128177 0.0191449 0.0855777 0.653013 0.195959 0.00888721 0.726555 0.456547 0.0511927 0.0279287 0.100487 0.0254 0.338445 0.114603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.279822 0.300939 0.367821 0.159515 0.264898 0.23096 0 0.23592 0.292977 J. Tomilson Hill ,William Conway Jr. ,David Rubenstein ,Felix Baker ,Daniel D'Aniello ,Jonathan Gray ,
0.19223 0.0291109 0.144667 0.142096 0.0330441 0.00798967 0.0549439 0.0891949 0.0105567 0.00374078 0.135177 0.0616459 0.0235565 0.0460187 0.0882824 0.0205928 0.0117531 0.0217951 0.0758345 0.667753 0.230559 0.0097822 0.774242 0.469022 0.0553384 0.0205862 0.100488 0.0255498 0.329016 0.108718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.369693 0.528628 0.627479 0.174797 0.259794 0.192985 0 0.363656 0.508464 Eric Yuan & family ,Jerry Yang ,Chad Richison ,Min Kao & family ,George Kurtz ,Brian Acton ,
0.222882 0.0141014 0.168411 0.237432 0.0439126 0.00691981 0.0293941 0.091206 0.00933496 0.00711875 0.0412756 0.067355 0.0258578 0.0578767 0.043708 0.0237021 0.0105706 0.0414959 0.0803272 0.628918 0.336629 0.0106395 0.746859 0.349837 0.0686368 0.013098 0.133248 0.0258019 0.409378 0.118122 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.154163 0.921485 0.866055 0.926029 0.230767 0.255075 0 0 0 Carl Thoma ,Henry Laufer ,Michael Milken ,John Overdeck ,Richard Kayne ,Orlando Bravo ,
0.222405 0.0153218 0.181673 0.249165 0.0476889 0.00628615 0.0217986 0.0965065 0.00764285 0.00773184 0.0385521 0.068089 0.00515828 0.0487584 0.0449366 0.0244719 0.00770451 0.0450896 0.0834248 0.615382 0.363635 0.0102304 0.724989 0.377342 0.0694565 0.0142306 0.134518 0.0280088 0.376444 0.127027 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0164194 0.980639 1.02494 0.951246 0.228876 0.277525 0 0 0 Rodger Riney & family ,Peter Thiel ,Gerald Ford ,Jose E. Feliciano ,Todd Boehly ,Paul Singer ,
0.225072 0.0148071 0.21083 0.194084 0.055327 0.00730169 0.0178478 0.110532 0.00446826 0.00598751 0.041824 0.0775318 0.0015099 0.049165 0.0342561 0.0208797 0.00750871 0.0523457 0.0937948 0.615753 0.372557 0.00922199 0.680792 0.308131 0.0806217 0.0165157 0.156157 0.00153845 0.437036 0.147428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.01291 1.07747 0.957585 0.228318 0.285115 0 0 0 John Sall ,Eric Lefkofsky ,Romesh T. Wadhwani ,Michael Xie ,Joseph Liemandt ,Phillip T. (Terry) Ragon ,
0.225036 0.0156694 0.223031 0.205367 0.0317393 0.00772402 0.0188868 0.116952 0.00315321 0.00633637 0.04426 0.0680068 0.00159674 0.0520271 0.0362451 0.0220994 0.00794434 0.055395 0.0835664 0.628058 0.372424 0.00911822 0.66854 0.267831 0.0853058 0.0174771 0.165246 0.00162794 0.462512 0.146454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.01737 1.0767 0.957609 0.228424 0.28508 0 0 0 Jack Dangermond ,David Steward ,Alexander Karp ,David Sun ,Ramzi Musallam ,Peter Gassner ,
0.222086 0.0171139 0.243438 0.207169 0.0346533 0.00677036 0.0171641 0.115857 0.0034418 0.00691769 0.048325 0.0641525 0 0.0500761 0.0361905 0.0207102 0.00692153 0.0604889 0.0606095 0.62504 0.372204 0.00872409 0.729863 0.200541 0.0931341 0.0190807 0.180425 0.00177825 0.505041 0.115801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.02475 1.07543 0.957649 0.2286 0.285022 0 0 0 James Goodnight ,Travis Kalanick ,John Tu ,William Ackman ,Jim Kavanaugh ,Hamilton James & family ,
0.220064 0.0201537 0.109401 0.243866 0.0407899 0.0079743 0.0202105 0.136357 0.00405007 0.00814197 0.0568853 0.0755087 0 0.058954 0.0426029 0.0243881 0.00814761 0.0712065 0.071363 0.629558 0.371742 0.0087816 0.686079 0.0588989 0.109617 0.0224569 0.212368 0.00209329 0.594566 0.126199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.04024 1.07275 0.957732 0.228969 0.284899 0 0 0 Ken Fisher ,Philippe Laffont ,Alexandre Behring ,William Foley II. ,Bruce Kovner ,Jeffrey Talpins ,
